time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 13,label
0.753946,-0.0387,-0.1084,0.9956,0.0532,0.0103,0.0256,0.0181,-0.0021,-0.0073,2.3813,-43.5,-12.375,,adl
0.771995,-0.0387,-0.1084,0.9956,0.0384,0.0485,0.0134,0.0181,-0.0021,-0.0073,2.3813,-43.5,-12.375,,adl
0.784519,-0.0387,-0.1084,0.9956,0.0384,0.0485,0.0134,0.0181,-0.0021,-0.0073,2.5688,-43.1063,-12.5813,,adl
0.79105,-0.0387,-0.1084,0.9956,0.0877,0.0098,-0.0222,0.0181,-0.0021,-0.0073,2.5688,-43.1063,-12.5813,,adl
0.800473,-0.0394,-0.1111,0.996,0.0877,0.0098,-0.0222,0.0181,-0.0021,-0.0073,2.5688,-43.1063,-12.5813,,adl
0.810148,-0.0394,-0.1111,0.996,0.0465,-0.0167,0.0169,0.0181,-0.0021,-0.0073,2.5688,-43.1063,-12.5813,,adl
0.814469,-0.0394,-0.1111,0.996,0.0465,-0.0167,0.0169,-0.0111,0.0712,0.0085,2.5688,-43.1063,-12.5813,,adl
0.829091,-0.0394,-0.1111,0.996,0.0426,-0.0048,0.0274,-0.0111,0.0712,0.0085,2.5688,-43.1063,-12.5813,,adl
0.843801,-0.0394,-0.1111,0.996,0.0426,-0.0048,0.0274,-0.0111,0.0712,0.0085,2.1562,-42.9563,-11.325,,adl
0.847811,-0.0394,-0.1054,0.9921,0.0426,-0.0048,0.0274,-0.0111,0.0712,0.0085,2.1562,-42.9563,-11.325,,adl
0.849141,-0.0394,-0.1054,0.9921,0.0958,0.042,-0.0052,-0.0111,0.0712,0.0085,2.1562,-42.9563,-11.325,,adl
0.867999,-0.0394,-0.1054,0.9921,0.0363,0.0132,0.0888,-0.0111,0.0712,0.0085,2.1562,-42.9563,-11.325,,adl
0.87589,-0.0394,-0.1054,0.9921,0.0363,0.0132,0.0888,-0.0124,-0.0166,-0.0062,2.1562,-42.9563,-11.325,,adl
0.887079,-0.0394,-0.1054,0.9921,0.045,0.0185,-0.026,-0.0124,-0.0166,-0.0062,2.1562,-42.9563,-11.325,,adl
0.896674,-0.0494,-0.1066,0.9867,0.045,0.0185,-0.026,-0.0124,-0.0166,-0.0062,2.1562,-42.9563,-11.325,,adl
0.903352,-0.0494,-0.1066,0.9867,0.045,0.0185,-0.026,-0.0124,-0.0166,-0.0062,2.3813,-43.5375,-11.85,,adl
0.905633,-0.0494,-0.1066,0.9867,-0.0441,0.0215,-0.0375,-0.0124,-0.0166,-0.0062,2.3813,-43.5375,-11.85,,adl
0.92441,-0.0494,-0.1066,0.9867,-0.1323,-0.0003,0.1601,-0.0124,-0.0166,-0.0062,2.3813,-43.5375,-11.85,,adl
0.939679,-0.0494,-0.1066,0.9867,-0.1323,-0.0003,0.1601,-0.0551,0.0701,0.0415,2.3813,-43.5375,-11.85,,adl
0.942951,-0.0712,-0.1147,1.0193,-0.1323,-0.0003,0.1601,-0.0551,0.0701,0.0415,2.3813,-43.5375,-11.85,,adl
0.944405,-0.0712,-0.1147,1.0193,-0.1922,-0.0192,0.265,-0.0551,0.0701,0.0415,2.3813,-43.5375,-11.85,,adl
0.963516,-0.0712,-0.1147,1.0193,-0.1385,-0.0755,0.6072,-0.0551,0.0701,0.0415,2.3813,-43.5375,-11.85,,adl
